review_id,feature,shopping_stage,pain_point,exploration_barrier,user_need,discovery_method,category_mentioned,sentiment,severity,exploration_banner
3844,General Experience,Discovery,Unknown,Habit,Fresh and fairly priced goods.,Unknown,Groceries,Positive,Low,
3873,Pricing,Checkout,GST pricing issues on items.,Price Concern,GST included stock.,Unknown,Snacks & Beverages,Negative,Medium,
3890,General Experience,Checkout,App frequently experiences issues.,App Experience,Better app stability.,Unknown,Unknown,Negative,High,
3891,General Experience,Post-Purchase,Issues with refunds and replacements for bad products.,Trust,Reliable refund and replacement policy.,Unknown,Unknown,Negative,High,
3892,General Experience,Post-Purchase,Uncertainty about refund and replacement policies.,Trust,Clear return policies.,Unknown,Unknown,Neutral,Medium,
3893,General Experience,Post-Purchase,Unknown,Unknown,Instant refunds.,Unknown,Unknown,Positive,Low,
3894,Inventory,Searching,Required items were not available at the time.,Limited Information,Better stock availability.,Search,Unknown,Neutral,Medium,
3895,Inventory,Browsing,Low stock availability on platforms.,Limited Information,Higher stock levels.,Unknown,Unknown,Neutral,Low,
3896,Inventory,Searching,Specific items hard to find.,Limited Information,Availability of specific items.,Search,Snacks & Beverages,Neutral,Low,
3897,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Neutral,Low,
3898,General Experience,Discovery,Limited exposure to other apps.,Habit,Try new apps.,Unknown,Unknown,Neutral,Low,
3899,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
3902,General Experience,Checkout,Constant headaches and issues with competitor app.,App Experience,Peace of mind during ordering.,Unknown,Unknown,Negative,High,
3903,General Experience,Delivery,Unknown,Unknown,Good customer support.,Unknown,Unknown,Positive,Low,
3907,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Negative,Medium,
3908,General Experience,Post-Purchase,Service is consistently poor.,Unknown,Better service quality.,Unknown,Unknown,Negative,High,
3910,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
3911,Delivery,Delivery,Delivery delays happen late at night.,Unknown,Consistent delivery times.,Unknown,Unknown,Negative,Medium,
3912,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
3913,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
3914,Delivery,Delivery,Unknown,Unknown,Fast delivery.,Unknown,Unknown,Neutral,Low,
3915,Inventory,Delivery,Incorrect product substitutions during delivery.,Trust,Accurate item substitution.,Unknown,Groceries,Negative,High,
3916,Inventory,Delivery,Wrong product substitutions sent.,Trust,Correct product delivery.,Unknown,Groceries,Negative,Medium,
3919,General Experience,Browsing,Physical stores lead to impulse buying.,Habit,Control spending on unnecessary items.,Unknown,Groceries,Positive,Low,
3920,Checkout,Checkout,Difficult to control budget while shopping.,Price Concern,Better budget management tools.,Unknown,Unknown,Neutral,Low,
3921,Delivery,Delivery,Waiting for orders feels sad.,Unknown,Faster delivery updates.,Unknown,Unknown,Negative,Low,
3922,General Experience,Post-Purchase,Delivery workers are exploited by apps.,Unknown,Fair treatment for delivery agents.,Unknown,Unknown,Negative,Medium,
3925,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
3939,Categories,Browsing,Unknown,Habit,Unknown,Previous Orders,Snacks & Beverages,Neutral,Low,
3940,Categories,Browsing,Unknown,Habit,Unknown,Previous Orders,Groceries,Neutral,Low,
3941,Categories,Browsing,Unknown,Lack of Awareness,Product recommendations.,Unknown,Snacks & Beverages,Neutral,Low,
3942,Categories,Browsing,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
3943,Search,Searching,Unknown,Unknown,Brand variety for eggs.,Search,Groceries,Neutral,Low,
3958,Categories,Browsing,Unknown,Habit,Quick access to essentials.,Previous Orders,Groceries,Positive,Low,
3962,Categories,Browsing,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
3974,Delivery,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
3985,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Household Essentials,Positive,Low,
3992,Inventory,Browsing,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Neutral,Low,
3993,Inventory,Browsing,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
3994,General Experience,Selection,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
3996,Inventory,Searching,Product is out of stock.,Lack of Awareness,Better inventory availability.,Search,Snacks & Beverages,Negative,Medium,
4000,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
4002,Categories,Browsing,Unknown,Limited Information,Clear product information.,Categories,Groceries,Neutral,Low,
4008,Delivery,Post-Purchase,Poor packaging led to damaged items.,Trust,Better delivery handling.,Unknown,Snacks & Beverages,Negative,High,
4034,Delivery,Checkout,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4074,Pricing,Checkout,Pricing is too high.,Price Concern,Lower prices.,Unknown,Unknown,Negative,Medium,
4087,Inventory,Searching,Product is out of stock.,Lack of Awareness,Better inventory availability.,Search,Electronics,Neutral,Low,
4088,Categories,Browsing,Unknown,Unknown,Unknown,Categories,Groceries,Neutral,Low,
4110,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4112,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4115,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4117,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4121,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4123,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4125,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4127,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4131,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4132,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4134,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4139,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4140,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4143,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4152,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4155,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Negative,Low,
4156,Checkout,Post-Purchase,Unable to schedule pickup for product returns easily.,App Experience,Easier return pickup scheduling.,Unknown,Unknown,Negative,High,
4157,General Experience,Selection,Return and replacement policies are unclear.,Limited Information,Clearer return policies.,Unknown,Electronics,Neutral,Medium,
4161,Checkout,Post-Purchase,Refunds take too long and support uses useless bots.,Trust,Faster refunds and human customer support.,Unknown,Unknown,Negative,High,
4165,Delivery,Post-Purchase,Orders marked delivered without being received.,Trust,Reliable order delivery.,Unknown,Unknown,Negative,High,
4166,Delivery,Delivery,Unknown,Unknown,Consistent delivery and tracking.,Unknown,Unknown,Positive,Low,
4167,Pricing,Selection,Unknown,Price Concern,Competitive pricing.,Unknown,Unknown,Neutral,Low,
4172,Delivery,Post-Purchase,Frequent delivery failures waste time.,Trust,Reliable deliveries without hassle.,Unknown,Unknown,Negative,High,
4174,Delivery,Delivery,Orders marked as handed to resident but never received.,Trust,Reliable delivery agents.,Unknown,Unknown,Negative,High,
4182,General Experience,Post-Purchase,Poor service led to stopping app usage.,Trust,Better customer service.,Unknown,Unknown,Negative,High,
4185,Delivery,Post-Purchase,Damaged items received and customer support is hard to reach.,Trust,Human customer support and safe delivery.,Unknown,Household Essentials,Negative,High,
4188,General Experience,Post-Purchase,Orders fail repeatedly leading to stopping usage.,App Experience,Reliable order fulfillment.,Unknown,Unknown,Negative,High,
4190,Delivery,Delivery,Orders marked as delivered but never arrived.,Trust,Reliable delivery confirmation.,Unknown,Unknown,Negative,High,
4197,Inventory,Post-Purchase,Received empty box and refund was denied.,Trust,Hassle free refunds and genuine products.,Unknown,Unknown,Negative,High,
4199,Delivery,Delivery,Deliveries delayed and unhelpful customer support.,Trust,Timely deliveries and honest support.,Unknown,Unknown,Negative,High,
4207,Inventory,Post-Purchase,Received rancid curd due to poor storage.,Trust,Fresh dairy items with proper storage.,Unknown,Groceries,Negative,High,
4209,Inventory,Post-Purchase,Blamed by support for spoiled perishable items.,Trust,Better customer support for spoiled items.,Unknown,Groceries,Negative,Medium,
4210,Inventory,Post-Purchase,Received melted and refrozen desserts with cracked lids.,Trust,Proper cold chain storage for frozen items.,Unknown,Snacks & Beverages,Negative,High,
4212,Inventory,Post-Purchase,Worst storage conditions for dairy items.,Trust,Better quality control for dairy products.,Unknown,Groceries,Negative,High,
4213,Categories,Browsing,Specific yogurt varieties are missing from grocery stores.,Lack of Awareness,Availability of healthy specialty yogurts.,Categories,Groceries,Neutral,Low,
4215,Inventory,Post-Purchase,Received multiple packs of puffed and spoiled yogurt.,Trust,Fresh and safe dairy products delivered.,Unknown,Groceries,Negative,High,
4217,Inventory,Post-Purchase,Received rotten and cracked eggs with poor customer service.,Trust,Full refunds for damaged unsafe food items.,Unknown,Groceries,Negative,High,
4218,General Experience,Post-Purchase,Dissatisfaction with food ordering quality.,Trust,Better food quality and service reliability.,Unknown,Groceries,Negative,Medium,
4219,Delivery,Delivery,Unknown,Unknown,Inspect items before accepting delivery.,Unknown,Unknown,Neutral,Low,
4221,Delivery,Delivery,Unknown,Unknown,Customer vigilance during order delivery.,Unknown,Unknown,Negative,Low,
4222,Delivery,Delivery,Delivery personnel cannot resolve product issues on the spot.,App Experience,Better dispute resolution process during delivery.,Unknown,Unknown,Neutral,Medium,
4240,Search,Searching,Specific potato varieties are hard to find locally.,Lack of Awareness,Better availability of regional grocery items.,Search,Groceries,Positive,Low,
4244,Inventory,Browsing,Required grocery items are listed as out of stock.,Lack of Awareness,Better stock availability for fresh produce.,Categories,Groceries,Negative,Medium,
4246,General Experience,Checkout,Unknown,Unknown,Reliable packaging bags for all orders.,Unknown,Unknown,Positive,Low,
4247,General Experience,Post-Purchase,Excessive paper bag accumulation from deliveries.,Unknown,Eco-friendly packaging options.,Unknown,Unknown,Neutral,Low,
4248,General Experience,Delivery,Missing delivery bags for orders in certain regions.,App Experience,Consistent packaging across all locations.,Unknown,Unknown,Neutral,Low,
4249,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4259,Offers,Discovery,Hidden annual maintenance charges.,Limited Information,Clear upfront fee disclosure.,Unknown,Unknown,Neutral,Medium,
4260,Offers,Discovery,Card charges are not mentioned.,Limited Information,Clear card fee information.,Unknown,Unknown,Neutral,Medium,
4261,Offers,Discovery,Terms and conditions are in fine print.,Limited Information,Better visibility of terms.,Unknown,Unknown,Neutral,Low,
4295,General Experience,Browsing,Received bad quality items occasionally.,Trust,Consistent product quality.,Unknown,Personal Care,Negative,Medium,
4297,Delivery,Delivery,Delivery time promise is dropped.,Unknown,Faster delivery times.,Unknown,Groceries,Neutral,Low,
4298,Delivery,Delivery,Delivery duration is increasing.,Unknown,Quick delivery.,Unknown,Groceries,Neutral,Low,
4299,Delivery,Delivery,Delivery time increased to 15 mins.,Unknown,Faster delivery.,Unknown,Groceries,Neutral,Low,
4300,Delivery,Delivery,Delivery time varies based on location.,Unknown,Consistent delivery time.,Unknown,Groceries,Neutral,Low,
4301,Delivery,Delivery,Unknown,Unknown,Safe delivery drivers.,Unknown,Groceries,Positive,Low,
4302,Inventory,Selection,Receiving rotten refrigerated or frozen goods.,Trust,Fresh refrigerated goods.,Unknown,Groceries,Negative,High,
4303,Inventory,Selection,Lack of safety checks for stored goods.,Trust,Better quality checks.,Unknown,Groceries,Negative,High,
4304,Delivery,Delivery,Deliveries take longer than promised.,Unknown,Accurate delivery time.,Unknown,Groceries,Neutral,Low,
4305,Delivery,Delivery,Unknown,Unknown,Fast delivery.,Unknown,Groceries,Positive,Low,
4307,Delivery,Delivery,Delivery time is no longer advertised.,Unknown,Fast delivery.,Unknown,Groceries,Neutral,Low,
4309,Delivery,Discovery,Unrealistic delivery time taglines.,Unknown,Realistic delivery timelines.,Unknown,Groceries,Neutral,Low,
4311,Delivery,Checkout,Unnecessary pressure for 10 minute delivery.,No Need,Reliable standard delivery.,Unknown,Groceries,Neutral,Low,
4312,Delivery,Checkout,Anxiety over delayed deliveries.,Unknown,Fast 10 minute delivery.,Unknown,Groceries,Neutral,Low,
4359,Delivery,Checkout,The 10 minute delivery model is stressful.,App Experience,Remove 10 minute delivery pressure.,Unknown,Groceries,Negative,Medium,
4361,Delivery,Checkout,Exploitation of gig worker delivery partners.,App Experience,Fair treatment for delivery workers.,Unknown,Groceries,Negative,Medium,
4363,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Negative,Low,
4364,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Negative,Low,
4367,General Experience,Discovery,Unknown,Trust,Unknown,Unknown,Groceries,Negative,Medium,
4386,Pricing,Browsing,Fresh items are more expensive.,Price Concern,Lower prices on fresh items.,Unknown,Groceries,Mixed,Medium,
4394,Inventory,Selection,Received discontinued old inventory.,Habit,Accurate and up to date inventory.,Unknown,Baby Care,Negative,High,
4403,General Experience,Post-Purchase,Privacy breach concerns with printouts.,Trust,Secure document handling.,Unknown,Unknown,Negative,High,
4406,General Experience,Post-Purchase,Privacy risks with document printing.,Trust,Secure document printing.,Unknown,Unknown,Neutral,Medium,
4407,General Experience,Post-Purchase,Risks with confidential prints.,Trust,Better data privacy.,Unknown,Unknown,Negative,Medium,
4420,Delivery,Delivery,Delivery personnel might check documents.,Trust,Trustworthy delivery process.,Unknown,Unknown,Neutral,Medium,
4422,General Experience,Browsing,Unknown,App Experience,Unknown,Unknown,Unknown,Negative,Low,
4423,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4425,Delivery,Post-Purchase,Unknown,Trust,Better privacy guidelines.,Unknown,Unknown,Neutral,Low,
4431,Delivery,Post-Purchase,Confidential print envelope arrived open.,Trust,Secure packaging.,Unknown,Unknown,Negative,High,
4433,Categories,Discovery,Unknown,Lack of Awareness,Unknown,Unknown,Unknown,Neutral,Low,
4434,General Experience,Selection,Privacy risks using print service.,Trust,Unknown,Unknown,Unknown,Negative,Medium,
4435,Delivery,Post-Purchase,Envelopes can be unsealed and resealed.,Trust,Secure packaging for documents.,Unknown,Unknown,Negative,High,
4437,General Experience,Browsing,Unknown,Trust,Safe printing service.,Unknown,Unknown,Mixed,Low,
4490,Pricing,Browsing,Unknown,Price Concern,Better prices.,Unknown,Groceries,Positive,Low,
4491,Pricing,Browsing,Unknown,Price Concern,Competitive pricing.,Unknown,Groceries,Neutral,Low,
4492,Inventory,Selection,Received expired products with hidden charges.,Trust,Fresh products and transparent pricing.,Unknown,Groceries,Negative,High,
4493,Inventory,Discovery,Products sold are fake or poor quality.,Trust,Ensure authentic and high quality products.,Unknown,Groceries,Negative,High,
4494,Inventory,Discovery,Platform sells fake items.,Trust,Ensure product authenticity.,Unknown,Groceries,Negative,High,
4495,Inventory,Discovery,Milk products may be adulterated.,Trust,Pure and unadulterated milk.,Unknown,Groceries,Negative,High,
4497,Offers,Discovery,Lack of good offers on staple items.,Price Concern,Better discounts on staples.,Offers,Groceries,Mixed,Medium,
4498,Pricing,Browsing,Unknown,Price Concern,Best value for money products.,Unknown,Groceries,Neutral,Low,
4499,Pricing,Browsing,Certain items are crazily overpriced online.,Price Concern,Lower prices for daily items.,Unknown,Groceries,Mixed,Medium,
4500,Pricing,Browsing,Unknown,Price Concern,Unknown,Unknown,Groceries,Positive,Low,
4501,General Experience,Discovery,Lack of human interaction online.,Habit,Human interaction while shopping.,Unknown,Unknown,Positive,Low,
4502,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4503,Pricing,Discovery,Unknown,Price Concern,Save money on groceries.,Unknown,Groceries,Positive,Low,
4504,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Unknown,Neutral,Low,
4505,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Unknown,Neutral,Low,
4506,General Experience,Discovery,Unknown,Habit,Convenient multi-channel purchasing.,Unknown,Groceries,Neutral,Low,
4507,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Unknown,Neutral,Low,
4508,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4509,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4510,Pricing,Browsing,Local market vegetables can be expensive.,Price Concern,Cheaper vegetable prices.,Unknown,Groceries,Neutral,Low,
4511,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4512,General Experience,Browsing,Unknown,Habit,Convenient single item online purchases.,Unknown,Groceries,Positive,Low,
4513,Offers,Browsing,Unknown,Price Concern,Best prices across platforms.,Offers,Groceries,Positive,Low,
4514,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4515,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4516,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4517,Pricing,Selection,High prices online.,Price Concern,Lower prices.,Unknown,Groceries,Positive,Medium,
4518,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4519,General Experience,Browsing,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4520,Cart,Selection,Impulse purchases lead to unnecessary items.,Habit,Better purchase control.,Unknown,Groceries,Positive,Low,
4521,Pricing,Selection,Unknown,Price Concern,Competitive pricing.,Unknown,Groceries,Neutral,Low,
4522,Delivery,Checkout,Unwanted fast delivery and lack of slot selection.,Trust,Scheduled delivery time slots.,Offers,Groceries,Negative,Medium,
4523,General Experience,Browsing,Forgetting items to buy.,Habit,Shopping list feature.,Unknown,Groceries,Neutral,Low,
4524,Inventory,Post-Purchase,Delivered products are expired or smell bad.,Trust,Fresher product quality.,Unknown,Snacks & Beverages,Negative,High,
4525,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4527,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4546,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4549,Delivery,Checkout,High delivery charges and minimum order limits.,Price Concern,Free or lower delivery fees.,Unknown,Groceries,Negative,High,
4550,Inventory,Selection,Perceived lower product quality on quick commerce platforms.,Trust,Consistent product quality.,Unknown,Groceries,Negative,Medium,
4551,Inventory,Selection,Unknown,Trust,Transparent sourcing information.,Unknown,Groceries,Neutral,Low,
4552,Inventory,Selection,Unknown,Trust,Unknown,Unknown,Groceries,Neutral,Low,
4553,Inventory,Selection,Unknown,Trust,Unknown,Unknown,Groceries,Positive,Low,
4554,Pricing,Checkout,Increasing prices and expensive services.,Price Concern,Affordable pricing.,Unknown,Groceries,Negative,High,
4555,Pricing,Selection,Products are sold at MRP with high margins.,Price Concern,Lower prices on products.,Unknown,Groceries,Negative,High,
4556,Pricing,Selection,Items are sold above MRP with cooling excuses.,Price Concern,Fair pricing without extra markups.,Unknown,Snacks & Beverages,Negative,High,
4557,Pricing,Checkout,Extra charges added for chilled items.,Price Concern,Transparent and standard pricing.,Unknown,Groceries,Negative,Medium,
4558,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4559,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Negative,Low,
4561,Pricing,Checkout,High additional fees charged like delivery and handling.,Price Concern,Lower additional fees.,Unknown,Unknown,Negative,High,
4566,Categories,Browsing,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Neutral,Low,
4567,Pricing,Selection,High profit margins on packaged goods.,Price Concern,Lower prices on packaged goods.,Unknown,Groceries,Negative,Medium,
4568,Pricing,Selection,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4569,General Experience,Discovery,Elderly people lack awareness of quick commerce apps.,Lack of Awareness,Better app awareness for elderly users.,Unknown,Groceries,Neutral,Low,
4571,General Experience,Delivery,Received poor quality complimentary items.,Trust,Better quality control on items.,Unknown,Groceries,Negative,Medium,
4572,Pricing,Selection,Prices increase after initial discounts.,Price Concern,Consistent affordable pricing.,Unknown,Groceries,Negative,High,
4579,Pricing,Selection,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4580,General Experience,Discovery,People do not trust online apps for purchases.,Trust,Build better consumer trust.,Unknown,Unknown,Neutral,Medium,
4581,General Experience,Browsing,Unknown,Unknown,Maintain convenient services.,Categories,Electronics,Positive,Low,
4583,Categories,Browsing,Unknown,Unknown,More variety and smaller pack sizes.,Categories,Groceries,Positive,Low,
4584,General Experience,Discovery,Unknown,Unknown,Better local sourcing.,Unknown,Groceries,Positive,Low,
4586,Delivery,Post-Purchase,Service quality worsens over time.,App Experience,Consistent service quality.,Unknown,Unknown,Negative,High,
4587,Pricing,Selection,Online apps do not offer significantly lower prices.,Price Concern,Deeps discounts on items.,Unknown,Unknown,Neutral,Medium,
4588,Offers,Browsing,Local stores lack app availability in certain areas.,Lack of Awareness,Better app expansion and offers.,Unknown,Snacks & Beverages,Neutral,Medium,
4589,Pricing,Post-Purchase,Online players will ramp up fees and tone down discounts.,Price Concern,Lower delivery charges and better discounts.,Unknown,Groceries,Negative,High,
4608,Inventory,Discovery,Specific products are missing from inventory.,Lack of Awareness,Wider product availability.,Unknown,Groceries,Neutral,Low,
4609,Inventory,Discovery,Specific items are not available.,Lack of Awareness,Better product availability.,Unknown,Groceries,Neutral,Low,
4610,Inventory,Discovery,Quality of available cheese is poor and items are discontinued.,Limited Information,Better quality gourmet products.,Unknown,Groceries,Negative,Medium,
4611,Inventory,Discovery,Fresh cheese products are missing from shelves.,Limited Information,Fresh cheese availability.,Unknown,Groceries,Mixed,Medium,
4612,Inventory,Discovery,Required cheese variety is missing.,Lack of Awareness,Wider variety of cheese.,Unknown,Groceries,Neutral,Low,
4614,Inventory,Discovery,Supply chain issues cause product shortages.,Limited Information,Stable supply chain.,Unknown,Groceries,Neutral,Medium,
4615,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4622,Search,Searching,Unable to find specialty chili peppers.,Lack of Awareness,Better search results for gourmet items.,Search,Groceries,Negative,Medium,
4623,Recommendations,Discovery,Unknown,Lack of Awareness,More unique product recommendations.,Recommendations,Snacks & Beverages,Positive,Low,
4624,Delivery,Delivery,Unknown,Unknown,Reliable home delivery.,Unknown,Groceries,Positive,Low,
4626,Inventory,Discovery,Authentic imported cheese is not available.,Limited Information,Availability of authentic imported products.,Unknown,Groceries,Negative,Medium,
4627,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4629,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4630,Inventory,Discovery,Specialty parmesan is hard to find locally.,Lack of Awareness,Better local availability of specialty items.,Unknown,Groceries,Neutral,Low,
4631,Delivery,Delivery,Unknown,Unknown,Fast delivery services.,Unknown,Groceries,Neutral,Low,
4633,Inventory,Discovery,Fresh cheeses expire quickly and are near expiry when delivered.,Trust,Fresher product stock with longer shelf life.,Unknown,Groceries,Negative,High,Trust
4635,Categories,Browsing,Users are stuck buying the same brand and fail to explore.,Habit,Better category exposure to try new brands.,Categories,Groceries,Negative,Medium,
4636,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4637,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4638,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4639,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Neutral,Low,
4640,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4641,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4642,Pricing,Discovery,Prices are too high.,Price Concern,Lower prices.,Unknown,Groceries,Mixed,Medium,
4643,Search,Searching,Hard to find specific items.,Lack of Awareness,Better product availability.,Search,Groceries,Positive,Medium,
4644,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4645,Inventory,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
4646,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Groceries,Neutral,Low,
4651,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
4653,Checkout,Checkout,Hidden charges increase total order cost.,Price Concern,Transparent pricing without hidden fees.,Unknown,Unknown,Negative,High,
4657,Checkout,Checkout,Too many hidden fees added.,Price Concern,No extra fees.,Unknown,Unknown,Negative,High,
4658,Checkout,Checkout,Delivery fees are annoying.,Price Concern,Free delivery.,Unknown,Unknown,Negative,Medium,
4659,Checkout,Checkout,Hidden fees are shocking.,Price Concern,Transparent billing.,Unknown,Unknown,Negative,High,
4661,Pricing,Checkout,High prices exploit user laziness.,Price Concern,Lower pricing.,Unknown,Unknown,Negative,Medium,
4662,Offers,Checkout,Dependent on discounts to use app.,Price Concern,Consistent discounts.,Offers,Unknown,Mixed,Medium,
4663,Inventory,Selection,Products near expiry date are sold.,Trust,Fresh products with long expiry.,Unknown,Groceries,Negative,High,
4667,Pricing,Discovery,Products are much more expensive online.,Price Concern,Fair pricing compared to local stores.,Unknown,Groceries,Negative,High,
4669,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4671,General Experience,Discovery,Unknown,Habit,Unknown,Unknown,Groceries,Neutral,Low,
4672,Offers,Checkout,Promo discounts are no longer provided.,Price Concern,Provide better promo discounts.,Offers,Unknown,Negative,Medium,
4673,General Experience,Discovery,E-commerce pricing lacks transparency.,Price Concern,Support local vendors instead.,Unknown,Unknown,Negative,Low,
4674,Checkout,Checkout,Multiple hidden fees are added at checkout.,Price Concern,Show a clear delivery fee.,Unknown,Unknown,Negative,High,
4675,Pricing,Checkout,Actual product prices are higher than competitors.,Price Concern,Lower product prices.,Unknown,Groceries,Negative,High,
4676,Offers,Checkout,Paid memberships result in higher charges.,Price Concern,Remove membership extra charges.,Offers,Unknown,Negative,High,
4677,Pricing,Checkout,Product prices are inflated to cover membership fees.,Price Concern,Keep transparent pricing without inflation.,Offers,Unknown,Negative,High,
4678,Delivery,Delivery,Quick commerce delivery is slow sometimes.,Habit,Ensure faster delivery times.,Unknown,Groceries,Neutral,Low,
4679,Pricing,Discovery,Regular users get higher prices on items.,Habit,Fair pricing for regular users.,Unknown,Groceries,Negative,Medium,
4680,Checkout,Checkout,Handling fees increase slowly over time.,Price Concern,Lower handling fees.,Unknown,Unknown,Negative,Medium,
4681,General Experience,Discovery,Convenience apps capitalize on user laziness.,No Need,Unknown,Unknown,Unknown,Neutral,Low,
4684,Checkout,Checkout,Delivery charges and tips add up.,Price Concern,Remove mandatory delivery fees.,Unknown,Unknown,Negative,Medium,
4685,Offers,Checkout,Subscription pricing changes over time.,Price Concern,Maintain stable subscription pricing.,Offers,Unknown,Neutral,Low,
4686,Checkout,Checkout,Hidden charges appear at the click of a button.,Price Concern,Transparent charges during checkout.,Unknown,Unknown,Mixed,Medium,
